item_name,Text,Type,Answers,Values,Optional,score: env_bel,btn_width,side_text,side_width,
env_bel_instr,<span class='text-primary' style='font-size:30'>How much do you agree with the following statements?</span>,instruct,,,,,,,,
env_bel1,Scientific evidence points to a warming trend in global climate.,likert,1|2|3|4|5|6|7|8|9,1|2|3|4|5|6|7|8|9,No,1,50px,Completely Disagree|Completely Agree,200px,
env_bel2,"Human activity is responsible for the continuing rise in average global temperature. ",likert,1|2|3|4|5|6|7|8|9,1|2|3|4|5|6|7|8|9,No,1,50px,Completely Disagree|Completely Agree,200px,
env_bel3,Humans have very little effect on climate change.,likert,1|2|3|4|5|6|7|8|9,1|2|3|4|5|6|7|8|9,No,r1,50px,Completely Disagree|Completely Agree,200px,
env_bel4,An increase in carbon dioxide levels (for example through burning fossil fuels or deforestation) is directly related to an increase in global temperature.,likert,1|2|3|4|5|6|7|8|9,1|2|3|4|5|6|7|8|9,No,1,50px,Completely Disagree|Completely Agree,200px,
env_bel5,Humans are severely abusing the environment.,likert,1|2|3|4|5|6|7|8|9,1|2|3|4|5|6|7|8|9,No,1,50px,Completely Disagree|Completely Agree,200px,
env_bel6,Animals have as much right to exist as humans do.,likert,1|2|3|4|5|6|7|8|9,1|2|3|4|5|6|7|8|9,No,1,50px,Completely Disagree|Completely Agree,200px,
env_bel7,When humans interfere with nature it often has disastrous implications.,likert,1|2|3|4|5|6|7|8|9,1|2|3|4|5|6|7|8|9,No,1,50px,Completely Disagree|Completely Agree,200px,
env_bel8,"Unlike what most scientists say, there will be some positive implications of global warming for the environment.",likert,1|2|3|4|5|6|7|8|9,1|2|3|4|5|6|7|8|9,No,r1,50px,Completely Disagree|Completely Agree,200px,
env_bel9,The impact of global warming will be harmful for the environment.,likert,1|2|3|4|5|6|7|8|9,1|2|3|4|5|6|7|8|9,No,1,50px,Completely Disagree|Completely Agree,200px,
env_bel10,Global warming will bring about some serious negative consequences.,likert,1|2|3|4|5|6|7|8|9,1|2|3|4|5|6|7|8|9,No,1,50px,Completely Disagree|Completely Agree,200px,
